,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,Bachelors,2017,Bangalore,3,34,Male,No,0,False
1,Bachelors,2013,Pune,1,28,Female,No,3,True
2,Bachelors,2014,New Delhi,3,38,Female,No,2,False
3,Masters,2016,Bangalore,3,27,Male,No,5,True
4,Masters,2017,Pune,3,24,Male,Yes,2,True
5,Bachelors,2016,Bangalore,3,22,Male,No,0,False
6,Bachelors,2015,New Delhi,3,38,Male,No,0,False
7,Bachelors,2016,Bangalore,3,34,Female,No,2,True
8,Bachelors,2016,Pune,3,23,Male,No,1,False
9,Masters,2017,New Delhi,2,37,Male,No,2,False
10,Masters,2012,Bangalore,3,27,Male,No,5,True
11,Bachelors,2016,Pune,3,34,Male,No,3,False
12,Bachelors,2018,Pune,3,32,Male,Yes,5,True
13,Bachelors,2016,Bangalore,3,39,Male,No,2,False
14,Bachelors,2012,Bangalore,3,37,Male,No,4,False
15,Bachelors,2017,Bangalore,1,29,Male,No,3,False
16,Bachelors,2014,Bangalore,3,34,Female,No,2,False
17,Bachelors,2014,Pune,3,34,Male,No,4,False
18,Bachelors,2015,Pune,2,30,Female,No,0,True
19,Bachelors,2016,New Delhi,2,22,Female,No,0,True
20,Bachelors,2012,Bangalore,3,37,Male,No,0,False
21,Masters,2017,New Delhi,2,28,Male,No,4,False
22,Bachelors,2017,New Delhi,2,36,Male,No,3,False
23,Bachelors,2015,Bangalore,3,27,Male,Yes,5,False
24,Bachelors,2017,Bangalore,3,29,Male,No,4,False
25,Bachelors,2013,Bangalore,3,22,Female,Yes,0,False
26,Bachelors,2016,Bangalore,3,37,Male,No,2,False
27,Bachelors,2015,Bangalore,3,23,Male,No,1,False
28,Bachelors,2013,Pune,2,31,Female,No,2,True
29,Masters,2017,New Delhi,2,30,Female,No,2,False
30,PHD,2013,New Delhi,3,25,Male,No,3,False
31,Bachelors,2014,Bangalore,3,23,Male,No,1,False
32,Bachelors,2018,Bangalore,3,26,Male,No,4,True
33,Bachelors,2016,Bangalore,3,40,Male,No,5,False
34,Bachelors,2017,Pune,2,37,Female,No,0,True
35,Bachelors,2014,Bangalore,1,30,Female,No,3,False
36,Bachelors,2012,New Delhi,3,29,Male,No,3,False
37,Bachelors,2018,New Delhi,2,34,Female,No,0,True
38,Bachelors,2017,Pune,2,29,Female,No,2,True
39,Bachelors,2014,Pune,3,30,Male,Yes,4,False
40,Bachelors,2015,Bangalore,3,36,Male,No,1,False
41,Masters,2017,New Delhi,2,23,Male,No,1,False
42,Bachelors,2013,Bangalore,3,30,Male,No,3,True
43,Bachelors,2014,Bangalore,3,36,Male,No,0,False
44,Bachelors,2015,Pune,3,39,Male,No,4,False
45,Bachelors,2014,Bangalore,3,23,Female,No,1,False
46,PHD,2012,New Delhi,3,27,Male,No,5,False
47,Masters,2013,New Delhi,3,35,Male,No,2,False
48,Masters,2017,New Delhi,2,34,Male,No,0,False
49,Bachelors,2013,Bangalore,3,30,Female,No,1,False
50,PHD,2017,New Delhi,3,34,Male,No,2,False
51,Bachelors,2015,Pune,2,26,Female,No,4,True
52,Bachelors,2016,Bangalore,3,34,Female,No,0,False
53,Bachelors,2014,Bangalore,3,31,Female,Yes,5,False
54,Bachelors,2017,New Delhi,3,31,Female,Yes,5,False
55,PHD,2013,New Delhi,3,28,Male,No,2,False
56,Bachelors,2016,Bangalore,3,38,Male,No,2,False
57,Masters,2014,Pune,3,39,Female,No,2,False
58,Bachelors,2013,Pune,3,32,Male,No,4,False
59,Masters,2017,Pune,2,36,Male,No,2,True
60,Masters,2013,New Delhi,3,29,Male,No,3,False
61,Bachelors,2015,Bangalore,3,30,Male,No,5,False
62,PHD,2013,Bangalore,2,25,Male,No,3,True
63,Bachelors,2014,Pune,1,22,Female,No,0,True
64,Bachelors,2016,Bangalore,3,34,Male,No,4,False
65,Bachelors,2018,Bangalore,3,40,Male,No,1,True
66,PHD,2013,Bangalore,3,26,Male,No,4,False
67,Bachelors,2014,New Delhi,3,28,Male,No,0,False
68,Bachelors,2015,Bangalore,3,24,Female,No,2,False
